geno	Omi32_a_2_1	Omi32_a_2_2	Omi32_a_2_3	Omi32_a_2_4	Omi32_a_3_1	Omi32_a_3_2	Omi32_a_3_3	Omi32_a_3_4	Omi32_a_4_1	Omi32_a_4_2	Omi32_a_4_3	Omi32_a_4_4	Omi32_a_5_1	Omi32_a_5_2	Omi32_a_5_3	Omi32_a_5_4	Omi32_a_6_1	Omi32_a_6_2	Omi32_a_6_3	Omi32_a_6_4	Omi32_a_7_1	Omi32_a_7_2	Omi32_a_7_3	Omi32_a_7_4	Omi32_a_8_1	Omi32_a_8_2	Omi32_a_8_3	Omi32_a_8_4	Omi32_a_F_1	Omi32_a_F_2	Omi32_a_F_3	Omi32_a_F_4	Omi32_a_F_5	Omi32_a_F_6	Omi32_a_10_1	Omi32_b_2_1	Omi32_b_2_2	Omi32_b_2_3	Omi32_b_2_4	Omi32_b_3_1	Omi32_b_3_2	Omi32_b_3_3	Omi32_b_3_4	Omi32_b_4_1	Omi32_b_4_2	Omi32_b_4_3	Omi32_b_4_4	Omi32_b_5_1	Omi32_b_5_2	Omi32_b_5_3	Omi32_b_5_4	Omi32_b_6_1	Omi32_b_6_2	Omi32_b_6_3	Omi32_b_6_4	Omi32_b_7_1	Omi32_b_7_2	Omi32_b_7_3	Omi32_b_7_4	Omi32_b_8_1	Omi32_b_8_2	Omi32_b_8_3	Omi32_b_8_4	Omi32_b_F_1	Omi32_b_F_2	Omi32_b_F_3	Omi32_b_F_4	Omi32_b_F_5	Omi32_b_F_6	Omi32_b_10_1
1000101011100	0	0	76	29	0	0	71	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	1	3	0	0	8	0	0	0	0	0	0	0	0	98	0	0	4	0	0	0	0	0	0	77	0	0	0	1	0	0	0	0	19	0	26	0	0	0
1000101011101	0	11	644	361	0	1	462	119	0	0	183	77	0	148	293	15	201	173	41	0	286	0	0	0	952	0	0	0	0	0	67	354	536	45	0	0	0	1343	656	0	44	584	66	0	1	1109	70	0	332	175	0	227	64	1	0	675	1	0	0	565	0	0	0	0	0	37	300	70	180	21
1000101011110	1	15	338	668	0	8	603	102	0	70	727	440	18	320	433	155	547	397	120	0	841	0	0	0	1425	0	0	0	1	3	3	319	1212	238	0	0	10	1135	805	0	6	1697	548	0	10	1637	1	4	208	908	11	1854	46	46	0	1376	1	0	0	1297	3	0	0	107	0	42	339	385	457	189
1000101011111	1	95	1048	809	1	0	726	149	0	4	771	172	26	315	473	21	714	293	187	0	1200	36	0	0	1668	0	0	0	2	4	1	463	1217	184	0	3	11	2323	1378	2	2	2438	698	0	7	1295	690	1	496	698	88	1662	1	124	0	1519	185	0	0	2842	13	0	0	2	206	145	721	613	600	154
1000101100000	0	569	1604	111	1	268	1372	57	0	18	535	99	27	565	158	59	457	187	229	0	1497	9	0	0	1291	0	0	0	84	50	7	345	1131	223	1	1	296	2146	1	0	516	1194	82	0	445	797	193	312	513	447	106	939	1	1	0	1126	3	0	0	2766	35	0	0	82	347	239	294	881	774	605
1000101100001	0	43	1233	14	1	153	832	34	0	235	233	41	13	340	167	133	631	33	169	0	745	2	0	0	915	6	0	0	0	32	0	230	666	227	0	1	554	782	4	0	590	533	103	1	543	1083	2	255	383	253	240	715	113	0	0	404	6	0	0	1734	5	0	0	0	0	6	247	411	251	72
1000101100010	0	123	869	269	0	7	609	24	0	151	487	0	8	300	118	135	255	3	74	0	830	8	0	0	745	0	0	0	4	2	0	371	566	298	0	0	4	680	162	0	116	865	128	0	170	1118	1	7	304	429	0	1366	0	80	0	809	22	0	0	948	2	0	0	0	0	85	25	352	514	238
1000101100011	0	27	1003	251	1	3	1227	29	0	212	463	150	55	842	211	1	518	16	548	0	1225	2	0	0	2157	36	0	0	7	4	5	572	754	391	0	3	3	2490	276	1	203	2069	4	0	1444	1313	27	73	674	541	1	1235	112	1	0	1331	4	0	0	2851	118	0	0	0	65	343	496	321	1000	103
1000101100100	0	102	2219	1616	0	21	2350	243	1	3	1552	796	19	347	929	92	1096	576	404	0	1931	81	0	0	4689	54	0	0	0	8	68	552	2708	337	0	2	50	3272	2706	3	177	3210	1275	0	10	3603	1119	12	635	1013	310	2100	199	121	0	4775	103	0	0	4571	155	0	0	7	2	203	868	1093	1849	519
1000101100101	0	3	0	80	0	0	32	0	0	0	61	0	0	0	0	21	32	0	103	0	105	0	0	0	76	0	0	0	0	1	0	0	1	38	0	1	3	205	0	0	0	213	70	0	0	0	40	0	0	23	0	1	0	0	0	0	0	0	0	116	0	0	0	0	0	0	25	0	0	0
1000101100110	0	12	510	412	0	0	192	260	0	0	141	138	2	2	206	129	247	1	74	0	453	0	0	0	681	0	0	0	3	1	1	148	399	92	0	2	1	541	967	1	56	771	143	0	4	85	209	0	328	407	137	378	1	1	0	1280	0	0	0	598	42	0	0	0	0	62	0	73	227	178
1000101100111	0	60	405	964	1	69	207	505	0	69	627	482	20	87	365	316	591	358	288	0	1186	108	0	0	1774	2	0	0	0	2	16	284	963	157	0	5	144	1418	1696	0	57	791	1039	1	8	276	1275	3	2	843	1001	740	91	0	0	1610	127	0	0	2097	134	0	0	0	3	299	272	645	758	297
1000101101000	0	191	722	120	0	134	297	56	0	64	292	0	52	266	30	7	440	340	190	0	726	101	0	0	829	0	0	0	0	1	6	115	425	204	0	0	100	1425	5	1	683	589	2	1	296	449	10	14	778	85	0	1176	1	0	0	1252	1	0	0	1067	97	0	0	4	2	4	92	179	75	280
1000101101001	0	60	1168	117	0	384	683	20	0	188	674	18	6	308	112	70	273	133	62	0	1447	60	0	0	1146	0	0	0	15	61	36	233	742	192	0	2	2	1384	404	1	445	855	201	0	1053	662	188	172	261	62	7	987	187	6	0	1080	185	0	0	1720	37	0	0	0	3	5	200	386	590	357
1000101101010	0	0	215	72	0	0	292	2	0	0	36	0	1	131	53	0	177	0	52	0	277	0	0	0	168	0	0	0	0	0	0	0	78	6	0	0	0	199	195	0	63	454	1	0	140	24	1	0	133	109	0	595	2	0	0	400	0	0	0	611	0	0	0	0	1	0	99	128	16	26
1000101101011	0	23	680	109	0	95	758	0	0	3	371	4	24	477	122	6	442	595	172	0	518	42	0	0	1402	0	0	0	0	7	28	86	609	97	0	2	5	962	143	1	54	1077	96	1	315	749	116	234	78	597	1	868	86	1	0	742	54	0	0	1270	8	0	0	80	0	47	346	399	420	27
1000101101100	0	0	622	407	0	1	480	84	4	43	318	34	48	109	378	3	695	235	302	0	265	10	0	0	664	16	0	0	12	2	2	253	579	130	1	0	0	1000	556	0	127	983	232	0	390	953	229	1	307	9	67	434	30	0	0	689	52	0	0	1537	1	0	0	33	3	1	312	224	342	332
1000101101101	0	4	415	523	0	3	586	29	0	0	124	100	3	183	369	13	437	26	62	0	496	25	0	0	776	2	0	0	5	2	55	147	617	124	0	1	31	594	788	1	0	1208	113	0	143	1074	293	0	288	407	164	1138	49	0	0	997	1	0	0	1178	302	0	0	2	0	3	386	265	395	180
1000101101110	1	28	146	538	20	0	269	122	0	0	74	91	0	33	357	343	177	462	82	0	406	49	0	0	873	0	0	0	0	0	0	99	283	63	0	1	23	548	962	0	0	244	435	0	0	842	551	0	40	79	2	567	0	0	0	259	1	0	0	1735	1	0	0	0	0	79	66	363	855	50
1000101101111	0	0	9	21	0	0	106	21	0	0	147	48	0	0	61	53	4	2	0	0	83	0	0	0	132	0	0	0	0	0	0	0	181	23	0	0	0	47	226	0	5	3	296	0	0	162	180	0	2	204	86	0	0	0	0	67	0	0	0	344	0	0	0	0	0	136	0	54	127	0
1000101110000	0	164	648	7	0	78	551	3	0	240	202	38	6	117	52	49	444	83	0	0	405	4	0	0	1520	0	0	0	47	0	3	39	750	90	0	0	351	530	2	0	602	687	3	0	734	319	0	0	72	309	8	389	80	1	0	415	0	0	0	1409	20	0	0	0	51	4	0	145	179	214
1000101110001	0	0	156	0	0	114	266	0	0	1	15	0	16	72	63	0	67	34	0	0	284	53	0	0	199	0	0	0	1	0	0	0	379	25	0	2	157	182	229	0	46	390	0	0	154	0	3	0	0	284	1	104	0	0	0	361	0	0	0	390	0	0	0	0	0	0	0	73	34	0
1000101110010	0	37	66	38	0	0	20	0	0	55	0	0	0	175	37	0	2	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	1	23	0	0	79	122	0	0	0	1	0	0	0	107	0	0	0	61	0	268	0	0	0	100	3	0	0	42	0	0	0	0	0	0	0	42	9	0
1000101110011	0	38	728	1	0	63	427	0	0	53	254	104	3	524	94	1	335	123	61	0	573	59	0	0	642	34	0	0	3	1	0	97	889	80	0	1	33	983	269	0	252	626	2	0	258	897	142	132	250	363	2	569	1	0	0	267	6	0	0	1023	53	0	0	2	59	1	60	60	607	111
1000101110100	0	2	329	337	1	1	715	0	0	0	32	6	0	112	134	0	228	226	50	0	708	45	0	0	565	0	0	0	0	188	2	17	272	133	0	0	6	938	301	2	0	490	70	0	1	1156	13	0	424	378	1	356	37	176	0	1212	1	0	0	823	105	0	0	16	4	2	264	130	293	245
1000101110101	0	7	295	560	0	0	545	95	1	2	576	117	28	189	321	129	255	183	1	0	301	0	0	0	949	0	0	0	0	1	5	192	410	95	0	0	2	679	925	0	2	803	2	0	4	929	1	0	338	300	1	4	3	0	0	1041	73	0	0	1177	95	0	0	64	0	157	76	238	562	1
1000101110110	0	5	274	216	0	46	319	157	1	4	363	40	14	61	289	146	191	303	70	0	315	15	0	0	583	0	0	0	14	4	4	124	483	102	0	1	1	334	1060	0	8	777	208	0	3	810	330	13	10	683	350	386	232	0	0	1700	4	0	0	591	14	0	0	0	3	53	125	202	521	97
1000101110111	1	65	224	273	0	0	165	97	0	0	296	396	1	2	140	0	500	7	19	0	305	0	0	0	514	0	0	0	0	31	2	145	246	51	0	1	4	378	503	1	146	256	234	0	264	291	1	0	0	271	5	712	0	0	0	573	0	0	0	197	1	0	0	0	126	1	66	228	432	87
1000101111000	0	299	854	88	0	191	561	1	0	31	518	0	11	207	138	0	133	3	89	0	702	31	0	0	922	0	0	0	1	6	19	264	461	197	0	0	380	644	123	0	189	614	87	0	742	530	0	4	545	967	1	1046	0	0	0	648	3	0	0	1111	1	0	0	1	1	48	279	79	201	33
1000101111001	0	679	1846	71	1	510	1138	79	0	331	380	0	68	440	209	65	538	415	397	0	1714	67	0	0	2525	12	0	0	0	4	45	322	1282	378	0	4	659	1701	169	0	1305	1833	8	0	2154	657	2	101	493	426	10	1284	94	95	0	1529	6	0	0	2426	45	0	0	5	4	4	797	383	1103	401
1000101111010	0	66	365	4	0	32	155	0	1	0	263	124	4	28	132	31	239	488	94	0	225	48	0	0	572	0	0	0	2	1	0	131	496	71	0	0	92	437	3	0	118	790	68	0	322	216	0	0	47	503	0	372	1	1	0	361	0	0	0	814	81	0	0	0	1	3	0	77	43	179
1000101111011	0	0	111	44	0	0	0	0	0	128	1	0	8	56	49	0	409	0	0	0	59	0	0	0	157	1	0	0	6	0	0	55	0	33	0	0	0	254	4	0	112	402	0	0	2	474	1	11	1	0	0	0	1	1	0	222	0	0	0	65	0	0	0	0	1	0	0	7	102	0
1000101111100	1	0	401	429	0	6	528	38	0	52	338	108	1	403	210	78	381	193	0	0	325	12	0	0	1471	0	0	0	0	0	45	496	155	226	0	0	3	703	779	0	0	824	41	1	0	601	359	0	132	188	1	505	78	0	0	398	0	0	0	1212	37	0	0	0	4	84	246	273	186	394
1000101111101	0	45	431	563	2	8	1392	67	1	3	495	214	4	265	252	104	506	390	98	0	740	83	0	0	1433	0	0	0	62	7	0	239	924	287	0	0	4	1189	903	0	4	1863	165	0	2	699	132	0	271	966	48	1136	54	295	0	1130	218	0	0	1454	151	0	0	3	2	4	118	315	491	3
1000101111110	0	44	71	201	0	60	213	83	0	6	197	53	0	0	166	0	168	95	17	0	106	0	0	0	448	0	0	0	0	1	0	1	112	32	0	0	0	624	263	1	87	445	0	0	1	275	52	1	169	0	7	371	73	0	0	301	0	0	0	367	2	0	0	0	1	38	0	61	367	63
1000101111111	1	0	308	289	0	0	368	5	0	0	265	311	0	0	245	47	242	80	111	0	382	56	0	0	727	15	0	0	20	2	3	119	219	59	0	0	1	579	659	1	34	597	209	1	1	638	124	0	86	417	12	75	54	1	0	569	5	0	0	405	2	0	0	1	0	198	232	28	166	34
1000110000000	0	905	805	102	2	722	719	33	10	328	589	15	48	679	255	36	766	564	121	0	1428	77	0	0	2026	0	0	0	0	14	34	838	1874	134	0	2	1019	1399	201	0	2126	1105	18	0	2538	98	3	460	860	623	1	1739	68	2	0	2190	125	0	0	2916	265	0	0	103	1	200	958	774	753	253
1000110000001	0	110	78	3	0	0	22	0	0	0	70	0	0	0	0	0	76	2	0	0	187	0	0	0	119	0	0	0	0	1	0	33	129	0	0	0	30	152	1	0	227	2	0	0	546	118	0	2	103	0	0	507	0	0	0	115	0	0	0	96	0	0	0	5	0	0	68	58	53	0
1000110000010	0	97	1048	40	1	167	303	0	0	114	155	151	11	324	153	36	310	0	46	0	930	2	0	0	628	1	0	0	4	5	52	310	753	32	0	2	479	1578	179	3	803	406	50	0	1409	637	1	131	208	146	0	917	115	0	0	1545	82	0	0	1178	0	0	0	2	1	242	245	642	301	98
1000110000011	0	48	229	3	0	112	141	0	0	15	90	0	8	42	0	0	21	1	0	0	103	0	0	0	370	0	0	0	0	0	0	86	167	19	0	0	117	524	0	0	92	97	0	0	249	33	0	0	201	194	0	572	45	4	0	10	0	0	0	450	0	0	0	1	0	4	167	53	44	0
1000110000100	2	95	1924	644	1	3	1120	150	1	54	531	159	6	342	397	68	941	474	50	0	1696	14	0	0	2464	27	0	0	3	47	34	776	2625	134	0	0	333	3078	692	0	296	2604	73	0	509	1858	2	3	1107	895	280	2022	12	0	0	2461	1	0	0	2829	91	0	0	0	50	711	1593	1114	319	349
1000110000101	0	384	828	468	0	257	855	218	1	97	570	91	46	658	181	45	316	101	0	0	1656	0	0	0	1697	0	0	0	7	6	126	1002	1849	67	0	1	669	1983	473	0	205	2574	219	0	1454	732	35	2	231	321	52	1120	198	0	0	2310	6	0	0	2381	24	0	0	2	2	1322	827	467	214	426
1000110000110	0	0	519	145	0	1	319	3	0	0	195	83	0	4	257	41	437	12	157	0	513	0	0	0	706	2	0	0	2	2	58	361	673	84	0	0	0	722	884	1	1	764	66	0	1	1218	7	0	1	423	0	110	139	0	0	344	235	0	0	650	1	0	0	0	0	92	316	243	104	92
1000110000111	0	28	1452	1100	0	1	1477	337	0	2	690	273	29	175	694	42	512	465	261	0	1352	6	0	0	2421	13	0	0	0	4	89	1429	2178	169	0	0	12	2003	1202	0	64	2582	975	0	290	1797	415	0	195	893	134	851	58	0	0	2904	72	0	0	2823	97	0	0	80	29	653	1080	1211	234	516
1000110001000	0	452	1293	4	0	207	457	0	1	83	210	95	4	334	230	6	366	285	161	0	1244	0	0	0	732	0	0	0	5	5	81	772	987	91	0	1	340	270	7	0	946	743	85	0	1794	547	5	149	364	213	28	787	32	0	0	350	1	0	0	1200	1	0	0	0	121	103	517	246	609	186
1000110001001	0	391	388	1	0	214	193	3	0	119	142	0	18	190	73	2	526	285	15	0	811	8	0	0	963	0	0	0	0	2	0	304	715	66	0	1	169	333	0	0	523	335	1	1	926	341	3	250	203	78	14	707	4	0	0	388	3	0	0	945	73	0	0	0	0	299	63	534	226	416
1000110001010	0	62	303	58	1	96	299	14	0	82	495	9	120	119	115	27	970	109	21	0	531	0	0	0	989	0	0	0	0	1	99	620	1225	79	0	0	452	1067	98	4	329	1112	69	0	1095	326	0	103	432	2	0	694	91	0	0	2279	26	0	0	1082	103	0	0	2	58	96	310	494	264	166
1000110001011	1	408	925	72	0	281	642	9	0	25	356	28	1	312	137	3	440	10	29	0	786	2	0	0	1099	0	0	0	1	3	43	631	1080	118	0	1	540	1786	5	0	938	845	19	0	714	452	110	384	711	332	0	590	91	1	0	894	11	0	0	2023	3	0	0	0	0	283	429	625	244	370
1000110001100	0	110	814	162	0	0	332	2	0	38	496	69	0	534	204	14	219	55	30	0	660	1	0	0	899	1	0	0	60	0	0	865	925	92	0	0	80	1281	132	0	131	1384	3	0	526	791	1	2	499	204	1	561	112	0	0	760	46	0	0	1140	0	0	0	0	1	250	631	440	167	98
1000110001101	0	62	1278	130	0	72	703	27	0	108	233	64	26	379	314	0	245	10	129	0	455	30	0	0	1039	0	0	0	1	1	0	302	821	64	0	1	99	922	444	1	68	974	10	0	107	459	192	1	405	177	59	940	31	107	0	2050	4	0	0	1322	42	0	0	2	14	127	632	240	196	35
1000110001110	0	0	313	193	0	0	273	1	0	1	240	120	0	133	76	1	112	61	47	0	295	1	0	0	686	0	0	0	0	3	14	465	746	35	0	0	4	917	489	0	1	559	67	0	1	796	218	0	320	528	0	246	0	0	0	477	83	0	0	606	0	0	0	0	1	14	191	12	243	50
1000110001111	1	49	326	286	0	0	564	27	0	0	218	69	0	33	141	9	138	49	1	0	604	0	0	0	439	42	0	0	0	4	31	280	828	24	0	1	1	647	243	0	4	1060	192	1	155	755	72	20	1	421	0	195	142	1	0	445	1	0	0	740	3	0	0	0	0	104	337	123	111	17
1000110010000	0	1135	1393	18	2	1109	1092	38	0	313	840	39	16	995	264	27	598	12	121	0	1465	135	0	0	1725	1	0	0	1	51	120	850	1797	106	0	4	1583	1310	125	2	1652	1953	7	0	3225	728	101	109	502	545	1	1535	140	90	0	1456	227	0	0	2575	119	0	0	187	1	419	898	798	673	687
1000110010001	0	798	381	1	0	219	239	9	16	721	123	0	72	635	64	138	600	33	18	0	1263	17	0	0	949	0	0	0	23	6	2	331	1098	51	0	4	883	626	5	0	850	634	126	0	748	464	0	218	337	3	0	1409	19	139	0	1437	2	0	0	1763	1	0	0	1	4	45	349	284	274	268
1000110010010	0	46	255	1	0	118	273	0	0	176	150	1	0	208	84	0	241	0	0	0	193	1	0	0	303	0	0	0	0	1	1	87	48	1	0	0	60	117	1	0	344	771	0	0	0	242	102	10	208	320	0	517	44	0	0	623	0	0	0	443	1	0	0	0	1	297	220	458	130	0
1000110010011	0	51	365	55	0	134	58	0	0	99	282	161	26	256	111	13	172	2	0	0	392	2	0	0	353	0	0	0	0	0	27	407	306	37	0	0	186	167	0	0	390	242	1	0	539	0	1	35	307	369	0	826	0	0	0	93	1	0	0	820	48	0	0	1	1	3	241	146	89	2
1000110010100	0	50	893	411	1	88	706	5	1	0	497	2	34	609	368	58	765	133	32	0	1153	25	0	0	1385	9	0	0	0	38	0	499	1117	135	0	3	17	1868	654	0	274	1675	94	0	310	829	69	9	442	79	1	1141	201	0	0	1154	4	0	0	1559	1	0	0	3	53	321	580	655	219	135
1000110010101	0	51	256	58	0	1	62	60	0	177	265	0	6	124	6	0	27	143	114	0	169	19	0	0	466	0	0	0	0	0	3	160	172	0	0	0	2	147	56	0	1	228	113	0	0	209	112	0	5	0	0	5	0	0	0	125	0	0	0	567	0	0	0	135	4	1	212	43	40	58
1000110010110	0	70	1346	638	1	22	1014	118	0	27	732	38	8	123	226	173	225	322	158	0	631	4	0	0	2105	0	0	0	1	4	2	941	1843	43	0	1	55	2572	619	1	133	2113	241	0	305	1423	247	0	149	822	1	1608	274	0	0	2029	171	0	0	1556	50	0	0	1	5	301	639	462	565	50
1000110010111	0	2	301	131	0	1	293	17	0	1	67	1	1	68	127	0	47	69	80	0	148	0	0	0	928	0	0	0	0	1	37	184	542	17	0	0	103	415	331	1	5	164	41	0	295	393	57	0	1	142	0	312	139	0	0	538	1	0	0	35	1	0	0	3	5	286	179	5	95	26
1000110011000	0	3192	1595	203	2	2077	2523	86	1	762	1548	214	100	1545	668	97	1840	394	268	0	3498	56	0	0	4006	1	0	0	83	19	117	1745	3655	396	0	6	2368	3409	193	113	4046	3163	176	0	3800	2341	86	1000	1824	1105	57	4744	135	9	0	5056	651	0	0	6412	162	0	0	4	284	1322	1496	1847	1000	772
1000110011001	0	209	345	101	0	185	414	35	0	160	113	105	26	131	101	0	232	2	26	0	287	39	0	0	769	19	0	0	1	1	0	189	615	51	0	2	535	115	59	0	832	423	152	0	609	770	93	158	159	152	109	641	5	76	0	768	127	0	0	1433	0	0	0	0	1	106	331	205	193	40
1000110011010	0	411	486	0	0	119	194	19	0	100	237	65	9	142	24	0	406	3	103	0	569	0	0	0	272	0	0	0	0	6	1	526	403	62	0	0	83	932	126	0	358	327	48	0	1009	559	1	7	95	4	3	424	1	0	0	212	177	0	0	880	2	0	0	0	5	2	186	226	0	72
1000110011011	0	48	20	0	0	0	152	0	0	1	136	1	0	0	1	0	123	0	0	0	127	0	0	0	289	0	0	0	0	0	27	1	0	82	0	0	149	398	0	0	37	31	0	0	1	266	1	113	253	0	0	151	0	1	0	0	0	0	0	188	0	0	0	0	0	0	231	44	66	0
1000110011100	0	7	707	257	0	90	786	48	0	114	187	6	0	449	288	2	101	23	1	0	904	1	0	0	625	0	0	0	0	1	62	361	1076	77	0	0	241	1013	193	1	90	1443	2	0	300	1097	65	72	259	594	3	786	200	0	0	1120	11	0	0	1561	86	0	0	72	0	93	487	467	442	87
1000110011101	0	125	2259	403	0	96	1198	5	1	134	819	90	31	626	388	13	750	362	235	0	2069	39	0	0	2415	30	0	0	4	27	141	1206	1974	320	0	1	73	4434	1134	0	343	2995	160	0	844	1427	63	170	695	542	1	1020	48	6	0	1434	187	0	0	3966	3	0	0	80	5	479	1602	1375	853	139
1000110011110	0	0	580	67	0	0	208	25	0	53	122	22	0	24	165	124	7	30	0	0	411	0	0	0	452	0	0	0	82	1	0	167	423	11	0	0	0	404	267	0	0	618	0	0	0	780	0	0	343	142	0	220	0	1	0	209	2	0	0	689	84	0	0	91	0	0	24	58	9	116
1000110011111	1	122	1078	421	0	4	1055	80	0	3	564	164	0	379	335	173	738	380	57	0	1348	12	0	0	1429	28	0	0	1	4	97	860	1098	118	0	0	5	2660	1305	1	76	1623	98	0	422	945	134	0	714	923	90	887	322	1	0	884	121	0	0	2259	16	0	0	1	8	186	171	481	481	352
1000110100000	0	969	415	0	1	479	468	0	3	299	395	3	45	217	280	59	361	131	176	0	482	37	0	0	449	20	0	0	8	1	24	250	1001	27	0	1	787	1193	2	0	793	545	25	1	333	263	4	40	444	113	5	1167	107	2	0	359	2	0	0	1221	0	0	0	0	0	148	160	583	352	175
1000110100001	0	468	277	4	0	10	389	1	0	192	384	27	17	342	31	101	158	3	1	0	681	0	0	0	438	0	0	0	0	1	2	56	490	41	0	0	113	416	1	1	467	268	1	0	426	197	1	2	183	128	1	414	0	0	0	459	2	0	0	996	0	0	0	106	1	0	243	196	222	90
1000110100010	0	260	171	4	0	37	248	3	0	23	285	2	2	143	162	0	148	128	17	0	208	69	0	0	883	0	0	0	2	1	4	155	654	83	0	1	128	670	98	1	545	222	9	2	1629	651	1	90	2	1	0	621	0	0	0	463	1	0	0	1452	2	0	0	0	0	66	217	253	72	0
1000110100011	2	1274	2463	139	1	1731	1728	44	1	443	1257	85	128	1250	514	8	1151	783	249	0	2249	54	0	0	3506	0	0	0	1	62	42	1848	2587	338	2	10	2069	3893	65	1	2946	1965	449	1	2081	2242	20	237	1751	1126	62	2596	322	122	0	3358	170	0	0	4746	4	0	0	3	73	686	1638	1297	914	781
1000110100100	0	1	655	82	1	10	446	33	0	125	330	133	32	369	55	1	488	372	199	0	584	31	0	0	781	0	0	0	0	3	53	566	944	67	0	1	3	1561	127	1	280	831	111	0	434	951	0	88	440	6	0	1338	11	0	0	1189	1	0	0	1657	32	0	0	1	0	34	383	209	346	139
1000110100101	0	2	1426	55	0	1	564	10	0	1	475	108	86	409	82	2	799	109	0	0	812	15	0	0	2248	0	0	0	2	2	30	539	1105	74	0	0	2	1928	290	1	122	1755	163	0	447	935	292	0	291	463	1	1548	93	47	0	2036	0	0	0	1783	0	0	0	98	0	36	648	267	405	3
1000110100110	0	0	248	265	1	39	347	13	17	5	164	0	12	3	266	0	346	76	93	0	323	1	0	0	678	19	0	0	11	2	1	285	419	36	0	1	6	579	693	0	108	715	243	0	475	861	63	0	353	124	112	411	115	0	0	748	260	0	0	1000	45	0	0	1	0	115	398	94	273	34
1000110100111	1	80	450	681	0	84	791	37	1	30	236	41	0	193	195	55	477	48	146	0	818	38	0	0	1283	35	0	0	6	3	28	516	894	36	0	1	1	1837	1217	1	111	1833	400	2	4	840	1	1	430	331	1	778	110	0	0	2032	1	0	0	2616	24	0	0	2	0	197	531	408	476	4
1000110101000	0	1179	1387	121	2	799	1217	91	27	528	733	175	91	1125	160	134	1129	437	121	0	1702	21	0	0	2483	0	0	0	3	6	28	957	1576	317	0	1	1858	2029	199	1	2493	3134	34	1	1272	956	282	357	1046	626	124	2818	112	78	0	3023	371	0	0	4460	140	0	0	4	2	377	968	830	954	198
1000110101001	0	177	104	0	1	135	245	5	0	59	149	1	28	197	40	1	53	0	57	0	228	10	0	0	401	0	0	0	0	2	32	348	204	98	0	0	190	221	1	0	104	103	7	0	818	430	0	1	164	0	0	185	111	0	0	572	80	0	0	236	0	0	0	0	1	0	137	237	262	0
1000110101010	0	729	1621	47	1	568	817	79	1	394	1001	36	103	1122	228	122	751	261	120	0	1425	65	0	0	2353	2	0	0	29	8	45	1054	1802	174	0	2	1287	2011	116	3	1795	2191	57	0	2698	1844	7	239	890	1095	0	2395	107	136	0	3053	103	0	0	3646	43	0	0	65	7	198	834	462	1003	572
1000110101011	0	972	1221	86	2	843	1634	11	5	455	508	5	48	572	207	182	915	564	220	0	1695	7	0	0	2514	1	0	0	16	16	65	527	1446	280	0	5	1347	2672	11	1	1199	912	97	1	2724	2284	120	91	802	301	6	1952	190	315	0	2613	52	0	0	4049	70	0	0	176	364	143	685	1062	696	367
1000110101100	0	67	1122	83	1	255	742	0	0	80	350	5	0	321	178	36	258	477	48	0	1288	0	0	0	1313	0	0	0	0	3	36	549	1085	135	0	1	219	1748	429	0	551	1129	4	0	1571	955	67	76	369	512	2	495	74	0	0	1359	118	0	0	1885	0	0	0	35	38	75	257	382	378	248
1000110101101	0	78	112	21	0	0	461	1	0	22	394	1	1	194	79	0	297	123	55	0	513	0	0	0	961	14	0	0	1	0	25	261	815	68	1	0	172	763	59	0	158	930	44	0	1814	437	1	1	262	234	2	468	1	1	0	189	149	0	0	639	0	0	0	0	0	108	315	128	114	0
1000110101110	0	72	1272	750	0	63	1309	307	8	5	529	180	2	314	435	1	887	8	58	0	1237	0	0	0	2302	22	0	0	0	6	1	469	1737	205	0	2	35	2332	1085	1	190	2634	278	0	893	2154	177	1	522	1151	6	1843	196	3	0	2087	160	0	0	2961	131	0	0	195	39	241	414	717	979	220
1000110101111	0	23	1133	652	0	76	1036	137	1	97	1117	105	28	357	568	71	860	172	22	0	1193	29	0	0	1584	0	0	0	1	6	20	882	1529	145	0	1	47	2004	829	0	130	1334	174	0	433	1286	6	1	330	364	72	1605	326	0	0	2308	6	0	0	1539	5	0	0	9	59	347	561	573	314	377
1000110110000	0	706	415	26	1	275	571	1	0	215	284	30	32	133	99	1	362	167	105	0	651	28	0	0	1018	58	0	0	0	0	1	158	651	121	0	2	386	599	53	0	493	573	0	0	1215	886	1	1	109	115	0	345	1	0	0	1671	1	0	0	1781	0	0	0	3	119	95	389	309	378	121
1000110110001	0	943	535	17	0	683	355	59	0	505	659	37	73	584	331	79	538	1	43	0	655	96	0	0	1768	1	0	0	56	35	70	528	1437	64	0	0	974	380	112	0	756	1188	35	0	1540	672	8	496	639	5	161	1138	151	1	0	397	14	0	0	1748	2	0	0	0	34	140	687	214	659	207
1000110110010	0	127	262	0	1	33	228	41	0	20	98	36	9	111	89	0	178	85	53	0	259	0	0	0	360	0	0	0	0	2	9	97	145	2	0	0	299	444	1	1	35	237	1	0	467	55	0	0	35	107	0	478	0	1	0	531	1	0	0	390	1	0	0	2	0	0	38	177	266	142
